I. Пол;;
Демонтаж плинтуса;м.п.;80
Демонтаж оргалита;м2;110
Демонтаж порожной планки;м.п.;200
Демонтаж на клеевой основе линолеума/ПВХ плитки;м2;160
Демонтаж без клеевой основе линолеума/ПВХ плитки;м2;140
Демонтаж пробки;м2;160
Демонтаж кафеля;м2;400
Демонтаж стяжки до 50 мм;м2;400
Демонтаж стяжки более 50 мм;м2;500
Демонтаж стяжки под перегородки;м.п.;900
Демонтаж пола по лагам;м2;380
Устр-во подиума из кирпича(кладка, стяжка, стяжка с разуклонкой, гидроизоляция, облицовка плиткой, затирка, грунтовка);шт;20000
Устр-во подиума из кирпича(кладка, стяжка, стяжка с разуклонкой, гидроизоляция, облицовка керамогранитом, затирка, грунтовка);шт;25000
Грунтовка пола перед устройством самовыравнивающегося пола (слой до 10мм);м2;50
Устройство самовыравнивающегося пола (слой до 10мм) ;м2;500
Грунтовка пола перед  устр-вом стяжки пола готовой цементно-песчаной смесью (слой до 50 мм);м2;50
Устр-во стяжки пола готовой цементно-песчаной смесью (слой до 50 мм) ;м2;650
Грунтовка пола перед  устр-вом стяжки пола готовой цементно-песчаной смесью (более до 50 мм);м2;50
Устр-во стяжки пола готовой цементно-песчаной смесью (более 50 мм) ;м2;750
Грунтовка пола перед бетонконтактом;м2;50
Грунтовка пола бетонконтактом;м2;120
Теплоизоляция пола в 1 слой;м2;350
Звукоизоляция пола в 1 слой;м2;350
Грунтвока пола перед гидроизоляцией пола ;м2;50
Гидроизоляция пола ;м2;300
Монтаж пола на лагах;м2;850
Настил половой рейки на лаги;м2;800
Настил фанеры в 1 слой;м2;550
Грунтовка пола перед укладкой плитки ПВХ на клей;м2;50
Укладка плитки ПВХ на клей ;м2;550
Грунтовка пола перед укладкой плитки ПВХ замковой;м2;50
Укладка плитки ПВХ замковой ;м2;500
Грунтовк пола перед укладкой клеевой пробки;м2;50
Укладка пробки клеевой ;м2;750
Грунтовка пола перед укладкой замковой пробки;м2;50
Укладка пробки замковой ;м2;550
Грунтовка пола перед укладкой ламината;м2;50
Укладка ламината ;м2;500
Грунтвока пола перед укладкой паркетной доски;м2;50
Укладка паркетной доски ;м2;550
Грунтовка пола перел настилом коврового покрытия ;м2;50
Настил коврового покрытия на клей ;м2;380
Грунтовка пола перед укладкой линолеума на клей;м2;50
Укладка линолеума на клей ;м2;380
Грунтвока пола перед простой  укладкой линолеума/коврового покрытия (без клея, без сварки швов) ;м2;50
Простая укладка линолеума/коврового покрытия (без клея, без сварки швов) ;м2;330
Сварка швов(линолеум);м.п.;1000
Затирка швов (цементная);м2;300
Затирка швов (эпоксидная);м2;700
Грунтовка пола перед укладкой плитки на пол;м2;50
Укладка плитка на пол ;м2;2500
Грунтовка пола перед укладкой керамогранита на пол;м2;50
Укладка керамогранита на пол ;м2;3000
Укладка мелкоформатного керамогранита (менее 25см по одной из сторон);м2;3500
Укладка крупноформатного керамогранита (размером 90х60 см);м2;3400
Укладка крупноформатного керамогранита (размером 120х60 см);м2;3700
Укладка крупноформатного керамогранита (размером 160х60 см);м2;4000
Устройство порога из кафеля;шт.;4000
Устройство порога из керамогранита;шт.;5000
Установка теневого плинтуса ;м.п.;1800
Запил внутреннего угла теневого плинтуса ;шт.;500
Запил внешнего угла теневого плинтуса ;шт.;500
Установка плинтуса МДФ ;м.п.;550
Запил внутреннего угла МДФ плинтуса ;шт.;350
Запил внешнего угла МДФ плинтуса ;шт.;350
Установка плинтуса пластикового;м.п.;200
Установка плинтуса ППУ до 100 мм с запилом под 45;м.п.;450
Запил  угла ППУ плинтуса ;шт.;300
Запил внешнего угла ППУ плинтуса ;шт.;300
Шпатлевка, шкурение и окраска ППУ плинтуса до 100 мм;м.п.;550
Установка плинтуса ППУ более 100 мм с запилом под 45;м.п.;600
Запил внутреннего угла ППУ плинтуса ;шт.;300
Запил внешнего угла ППУ плинтуса ;шт.;300
Шпатлевка, окраска ППУ плинтуса более 100 мм;м.п.;650
Монтаж сетки металлической(под стяжку);м2;280
Заделка штраб по полу после демонтажа стен;м.п.;500
Установка декоративных колец на трубы радиаторов;шт.;500
Установка дверных ограничителей;шт.;500
Устройство примыкания керамогранита и плитки ПВХ;шт.;1000
